id;title;text;start_date;end_date;status
1;Fish bypassing Burundi;strategic Triple-buffered Swedish;2023-06-08;2023-06-08;violet Practical feed
2;Usability Rubber;input North digital;2023-06-07;2023-06-07;Officer discrete
3;Gorgeous Prairie;Africa violet;2023-06-08;2023-06-07;deliverables
4;background Movies;Account monitor;2023-06-08;2023-06-07;Maine content Frozen
5;Money lime;workforce compress;2023-06-07;2023-06-07;turquoise wireless
6;Customizable;Field Credit;2023-06-07;2023-06-07;Checking distributed
7;capacitor morph solutions;Pike hacking Division;2023-06-07;2023-06-07;neutral
8;copying program;Roads embrace;2023-06-08;2023-06-07;Profit-focused
9;Cambridgeshire recontextualize technologies;unleash salmon Planner;2023-06-08;2023-06-08;cyan
10;Fresh bypass;Rubber;2023-06-07;2023-06-07;neutral Metal haptic
